Row Labels,Accessories,ACE,Advanced Signal Conditioning Modules,Analog Inspection & Test,ANT-5,Attenuators & Backreflector Modules,Benchtop Inspection,BrightJack,CA product,Calibration Plan,Calibrations,CapacityAdvisor Held,CellAdvisor,Certifier,CleanBlast,Common Product,Converged Assurance Support,CT-650,CT-650SM,Digital Inspection & Test,Direct View FM,Dispersion modules,DSAM,DSAM 2300/3300,DSAM Upgrades,DSAM-6300,DTS,EA Support,Education,Ethernet Network Management Tools,Extended Warranty,FIT Generic,FST-2000,FST-2207/2209 DS1,FST-2310,FST-2310-DS3,FST-2310-OC12,FST-2310-OC3,FST-2802 G,GigaStor,HCU1500,HST-3000 SIMs,HST-3000C,HST-3000C-CE,JMEP,Legacy Wireline Services,Location Intelligence Product,Location Intelligence Services,MAP Standalone Switches,"MAP-200 Chassis, Accessories & Software",Misc Hardware,MS-1200D,MTS-5100e,NC Ethernet TT,NetAnalyst Test Management Software,NI - Maintenance,NIMS,nTAPs,Observer,ONT-Jitter,ONX-580,Optical Switch Modules,ORS,OSA,OST,OTDR - FiberComplete modules,Other - Cable,Other - Solutions Classic,PacketPortal SW & Solutions,Passive Chassis,Passive Plug-ins,PathTrak,PI Product,Polatis Cross Connects,Probe Tips,PT Hardware,PT SART,PT SART Support,PT Services,QT-600-10,QT-600-2,RANAdvisor Product,RANAdvisor Services & Support,RCATS Product,Repair,Replacement Parts,RPM2000,RPM-3000,RSAM,SDA,SDA-5000,SDA-5500,SMART Handhelds,SmartClass ADSL,SmartClass E1,SmartClass Ethernet,SMARTClass Fiber,SmartClass HOME,SmartClass Triple Play,SmartID,SmartPocket Handhelds,"Source, EDFA & BBS Modules",Spare Parts,StrataSync,Support Plans,Swept Wavelength Systems,T3AS,TB/MTS 4000 Platform,TB/MTS 8000 Platform,TB/MTS-2000 Platform,TB/MTS-6000 Platform,TB-6000A Transport Module,T-BERD 8000,T-Berd/MTS-5800,Test Devices,Test Productivity Pack,TestPad 2000,TrueSpeed,Ultra FED,Volicon,VSA,VSE-1100,WiFi Smart Accessory,WR 10G Trans/Regen,WR 2.5G Trans/Regen,WR Amplification,WR Common,WS 10G Trans/Regen,WS 2.5G Trans/Regen,XGIG - Ethernet 10G,XGIG - FC 16G,XGIG - Other,XGIG 5k - SAS/SATA 12G,Grand Total
CINCINNATI BELL,30.00502967,0,4,34.72708834,7.710843373,4,4,31.43880074,49.17647059,0,20.63415078,32.52290007,38.3255814,33.88646111,34,27.46929599,39.05381465,31.2876063,4,28.82186936,0,41.86885246,0,20.39751553,15.93637145,31.47520488,25.81818182,38.57141642,26.85254214,4,6.095238095,40.25888325,39.16232634,41.86885246,26.20021356,36.22334988,41.86885246,13.53448276,39.34696817,0,17.00167444,0,0,0,32.53474197,0,8,8,32.53474197,4,0,4,19.00572662,25.81818182,0,0,0,28.640905,0,4,37.93267288,4,0,23.53737351,4,40.21500411,0,31.17647059,19.5502008,4,20.39751553,14.97447457,32.53474197,4,31.6575654,21.61672474,4,0,4,40.15266705,33.96933962,20.36243575,12.35850705,27.92768826,0,25.81818182,25.81818182,13.92053746,24.90663784,19.49393414,12.09058564,6.761061947,29.06008354,36.2614211,37.71684892,8,34.83765264,42.38211085,41.88372129,43.1443299,39.15033348,4,0,19.43983619,35.8057961,4,36.44738474,0,39.85418421,37.46288121,13.57894737,32.05337303,34.10711835,34.73305038,28.7460992,19.5502008,29.1340567,35.82722641,0,4,25.81818182,36,36.44738474,4,20.39751553,19.5502008,40.26287106,36.44738474,37.81864321,29.1340567,4.834688347,16.88860341,24.14758829,2742.171413
CISCO,2,2,2,2,2,11.66976744,6.046511628,0,2,0,2,2,0,2,2,3.936306244,2,2,2,2,0,2,0,2,2,2,2,2,2,2,2,2,2,2,5.570868713,2,2,2,2,0,0,2,2,2,2,0,2,2,2,2,0,2,2,2,0,0,0,2,0,2,2,2,0,2,2,2,0,2,2,2,2,2,2,2,2,5.257731959,11.34375,0,2,0,0,4.215335388,2,5.301965456,0,2,2,2,2,2,2,2,2,2,2,2,2,0,6,2,0,2,0,0,2,2,2,0,0,0,2,2,2,2,2,2,5.793103448,2,2,2,2,2,2,2,2,2,0,2,2,5.793103448,0,7.018867925,0,261.9473116
CL MORGAN,0,5.171428571,5.181818182,5.746478873,5.181818182,2,5.031141869,2,8,5.181818182,4.9625,5.179104478,8,5.179104478,5.299224806,5.16,6.176470588,5.176470588,0,0,8,0,4.727272727,2,0,5.173913043,5.181818182,5.179104478,5.176470588,2,0,5.792284866,2,0,2,5.179104478,0,2,2,2,4.386363636,5.026067246,5.134831461,4.907053395,5.181818182,0,0,0,5.181818182,4.142857143,2,0,5.171428571,5.181818182,0,2,0,6.169014085,0,2,4.340740741,5.181818182,2,5.179104478,5.181818182,4.790697674,0,5.181818182,5.181818182,0,2,2,5.181818182,0,5.476161738,8,2,0,0,0,0,5.137931034,5.759213759,3.603053435,5.016663474,2,2,0,4.140703518,8,0,0,4.138613861,2,5.784090909,2,6.036363636,8,8,0,5.532338308,2,0,4.962607862,5.146341463,0,5.181818182,0,8,2,8,4.569593148,4.178103719,4.699629172,5.235973154,5.181818182,2,5.173913043,5.815217391,0,5.181818182,0,5.181818182,0,2,5.181818182,8,5.181818182,4.142857143,2,2,4.114285714,2,459.4946156
CLOVER CABLE,2.74018039,2.790322581,0,0,0,2,2,0,2,0,2.809419974,0,0,2.671573385,0,2.838275998,2,2,0,2.734402852,0,0,0,2.504609849,2.50720711,2.629667003,2.504609849,2,2.359809912,0,2.504609849,2.359809912,0,0,4,3.128834356,0,0,0,0,0,2.828544192,2.793894141,2.757369594,0,0,2.842975207,2.842975207,0,0,0,0,4,2.504609849,0,0,0,0,0,0,2.566877676,0,0,4,0,2,0,2,2.504609849,0,2.504609849,2.578581363,0,0,2.689390567,0,2,0,0,0,0,2,4,4,3.028091376,2.504609849,2.504609849,2.518233775,2.504609849,2.64339909,2.77474309,2.504609849,2.640113067,2.845528455,0,2.50720711,3.212765957,0,0,2,0,0,0,0,2.485315359,0,4,0,0,0,0,2.631098764,0,2.632793717,2.801092399,2.504609849,4,2.850393701,4,0,2.504609849,2,4,0,2.504609849,2.504609849,0,4,4,4,2.361940842,0,2.816041848,199.2834079
CODALE ELECTRIC SUPPLY,6.479907101,6.32361516,0,5.998582231,0,0,0,3,12,0,12,7.207792208,3,5.725784447,0,7.258064516,7.207792208,3,0,6.743307253,0,0,6.806697665,12,12,4.93091996,12,4.674418605,3,0,0,6.496402878,3,0,7.207792208,4.847206385,0,3,3,0,7.049120848,0,0,6.808269423,7.2,0,0,0,7.2,0,0,0,0,12,0,0,0,7.228915663,0,0,6.610414658,0,0,8.785714286,0,6.683992912,0,3,7.2,0,12,7.268041237,7.2,0,6.695906433,12,0,0,0,5.725784447,5.670283019,3,12,5.7,6.25304698,12,12,7.24137931,7.207792208,7.235294118,12,0,7.215189873,3,6.779005525,0,4.839808727,5.339350181,5.548660614,6.154639175,6.749179046,0,0,8.234248788,7.145261293,0,4.8,0,5.561376075,7.782016349,3,7.143201186,6.325183374,6.952941176,6.674415881,7.2,7.2,4.93091996,0,0,12,12,4.8,0,12,7.2,5.670283019,4.8,3.97826087,7.2,0,7.247191011,7.207792208,602.5511627
COMCAST,0,38.20511191,25.35458678,0,33.01549391,41.87502961,0,15.80219538,25.25459755,14.70125278,0,26.07011747,20.40628094,62.9563985,26.44547929,60.25241049,35.75232364,55.54105311,233,0,14.61918195,40.57450652,0,22.10612781,0,71.92168946,66.06436961,30.41813797,60.52789824,74.63398115,108.4769776,34.85849936,42.69207599,46.57894737,105.9841756,54.10968567,46.57894737,21.95454077,52.3225394,19.56726832,0,0,0,53.16371161,25.68550391,20.09877565,222.0551352,222.0551352,25.68550391,37.99199497,19.19187784,233,65.29122286,66.06436961,11,19.67948793,0,31.62249139,0,114.0952381,0,25.35458678,19.19187784,48.24445115,25.35458678,19.70312287,234,33.89393928,0,115.3611111,22.10612781,0,25.68550391,233,0,47.98135415,48.41708748,0,62.76182708,17.08385788,18.92721541,62.82716889,67.71574834,50.39417818,0,0,0,0,0,0,0,137.0135401,73.15330708,146.0307437,22.81689497,90.1471644,62.77502612,20.95103717,24.6911967,29.36196082,19.11376703,36.49442261,0,0,0,233,69.03938853,0,25.82510502,43.22196879,34.3188043,49.08867233,0,0,0,0,87.44709898,117.9052384,34.99459269,62.76182708,66.06436961,0,43.55759816,115.3611111,22.10612781,0,15.34404634,43.55759816,46.24945398,87.44709898,111.1954627,63.98013836,137.2563651,6145.577202
COMERCIALIZADORA KMOX,19.42361853,18.47008547,0,20.10748028,0,0,0,7.55952381,24.47058824,0,29.089141,18.26624153,7.558139535,19.22874433,7,15.60870036,15.61851332,7.383333333,0,18.58874167,0,7,20.45334131,40,40,18.27417602,40,15.4353562,7.55952381,0,0,19.83098592,7.367647059,7,18.26624153,18.26624153,7,8,7.56097561,0,20.70861205,0,0,0,18.2617801,0,0,0,18.2617801,0,0,0,7,40,0,0,0,18.27771053,0,0,20.12215196,0,0,28.57142857,0,18.94591564,0,7.5625,22.93333333,0,40,23.17525773,18.2617801,0,19.55086876,40,0,0,0,18.27036264,22.98734177,7.613995485,40,13.84831461,16.32163262,40,40,23.08045977,20.25751664,18.28099174,40,0,18.27036264,7.56097561,20.61217737,0,17.29715845,17.17945886,19.05211522,40,20.61227441,0,0,20.21323609,20.82826053,0,18.2617801,0,16.59324443,20.11178162,8,19.25176293,18.80366009,19.74005487,19.0016496,22.93333333,18.2617801,18.27417602,19.03026511,0,40,40,18.2617801,0,40,22.93333333,18.27036264,18.2617801,13.84265519,18.2617801,0,18.28688276,18.26624153,1858.955398
COMIT,7.572551484,5.402936234,3,6.511455477,13.27027027,3,3,10.16112084,8.574572127,22,8.368614832,7.424923289,9.930183642,6.638051044,6.078159737,10.90247248,8.987425135,7.568200978,0,8.798051378,3,3,6.744526521,11.35164835,11.4,7.483292504,9.08,7.989115032,12.6322199,0,0,6.122330097,11.96226415,3,3,9.078491024,3,22,11.91836735,22,7.04218047,6.424173076,0,0,7.409753874,12.47191011,0,0,7.409753874,3,22,0,3,9.08,0,22,0,7.477628918,0,0,11.46815587,3,22,7.26730486,3,7.615990444,0,9.368715084,9.08,0,11.35164835,7.881949511,7.409753874,0,0,8.71483871,7.877817854,0,8.169491525,9.209642039,13.40869565,8.986331519,6.867570488,6.50482937,6.946747299,11.35164835,11.35164835,9.379562044,5.970028158,7.49599547,13.04488778,0,5.932711318,11.91836735,0,8.360655738,6.838137397,8.182185957,7.885833558,10.21854511,7.420056533,22,0,7.887988688,9.941564495,0,7.46183953,0,8.313926941,0,0,11.24969935,11.18383511,0,7.692083855,9.08,3,7.483292504,6.433461235,8.169491525,9.08,11.42268041,7.46183953,0,11.35164835,9.08,6.692976163,7.46183953,8.987425135,3,3,3,3,934.1819821
COMMERCIAL ELECTRONICS,2.280487805,3.244645799,3,3.491525424,3,3,3,0,0,0,2.571699905,3,0,2.210227273,3,2.164179104,3,3,3,2.189189189,0,3,0,3.377938517,3.129578301,2.438356164,1,3,1.953642384,3,3.377938517,1,3,3,2.296803653,1.953020134,3,3,3,0,1.77644327,1.963350785,1.803418803,2.195357834,3,4,1,1,3,3,0,3,3.200120736,1,0,0,0,3,0,3,2.764705882,3,0,1.953020134,3,0,0,3,3.377938517,3,3.377938517,2.350635064,3,3,2.2,3,3,0,3,0,4,3,2.585253456,2.47440273,0,3.441860465,3.441860465,2.804219692,3.184409362,3.186425867,0,3.016770587,1.953642384,1.953020134,3,3.420454545,1.95483871,0,0,0,0,3,0,1.798164058,2.147058824,3,1.952380952,0,0,0,3,2.259259259,3,2.102362205,2.14893617,3.377938517,1.952380952,1.954248366,1,3,1,4,1.952380952,3,3.377938517,3.377938517,0,1.952380952,2.296803653,1.952380952,2.582655827,3,1.952380952,278.1969097
COMMNET WIRELESS,7.735533648,9,9,9,9,5.262135922,9,0,0,0,9,5.285714286,4,0,9,9,5.285714286,3.83,0,7.810430148,0,9,9,9,9,0,0,6.116788321,5.308411215,9,9,4,9,9,9,9,9,9,9,0,9,9,9,9,9,3,0,0,9,9,0,9,6.132352941,0,0,0,0,9,0,9,0,9,0,5.285714286,9,0,0,5.262135922,9,9,9,9,9,9,7.535353535,6.662721893,5.285714286,0,5.262135922,0,0,0,4.348837209,6.608695652,0,0,0,9,9,9,9,9,9,9,9,0,9,0,0,0,0,9,0,9,0,9,9,0,0,0,9,9,9,9,7.849557522,9,9,9,0,5.262135922,0,0,9,9,9,9,0,9,9,9,7.005181347,7.870967742,9,741.006232
COMMSCOPE,0,12.77372263,20,12.36309227,12.79069767,5,14.45378151,5,20,12.79069767,11.81818182,12.78625954,8.391589295,9.426922738,14.1904716,10.1843318,15.3030303,12.78195489,0,12.20003184,20,5,10.5362776,5,5,12.77777778,12.79069767,12.78625954,12.78195489,0,0,6.765384615,5,0,0,11.22291022,0,0,5,0,9.936708861,10.56658799,10.53764004,10.50494534,12.79069767,0,5,5,12.79069767,20,0,0,10.1980198,12.79069767,0,0,0,12.77777778,0,0,11.04712042,20,0,6.207100592,20,10.1889365,0,12.79069767,12.79069767,5,5,5,12.79069767,0,12.34232735,20,5,0,0,0,5,11.99356913,9.770050477,12.78195489,11.53110048,5,5,0,10.20408163,12.76978417,0,0,6.362514399,5,12.77777778,0,12.78625954,8.883120019,12.6744186,5,0,5,0,11.93277311,11.60634249,0,12.79069767,0,8.506983604,5,20,11.47209578,11.52416357,11.28790787,0,12.79069767,0,10.20100503,12.76978417,0,12.79069767,5,6.047093144,5,5,12.79069767,6.892393321,6.047093144,6.121026213,0,5,12.76595745,0,1013.839419
COMMUNICATIONS CONSTRUCTION,0,3.454991038,5.678511514,3.959315644,4.774131861,5.640792144,4.268531103,1.346153846,6,4.07751938,6.250168124,5.826230865,2.64474281,2.441743751,4.602983553,5.760543467,5.040203965,3.608472528,10,4.289768885,3.967213115,5.722222222,5.130573259,5.722222222,7.134883721,3.351206434,3.351942156,3.240848095,2.486314236,10,10,2.469298419,4.961998457,10,10,3.067936535,10,10,5.726027397,0,4.831306922,3.892689815,3.811308336,4.207400512,5.823951161,0,2,2,5.823951161,6.658001625,0,10,5.714861196,3.351942156,0,0,0,5.830618893,0,10,3.095364529,5.678511514,0,2.413386234,5.678511514,2.202431611,0,2.333496624,4.774131861,5.722222222,5.722222222,4.379828124,5.823951161,10,0,8.209631728,5.645893257,0,10,0,1.346153846,5.532438425,4.349679312,6.391478275,0,2,2,6.388571429,3.809929532,6.402771543,10,10,3.07012636,4.403587444,4.130338556,0,3.76316176,2.841871255,6,2,2.10100505,5.722222222,0,4.129629555,3.187378263,10,4.774131861,0,0,0,2.513282732,4.331007537,3.99319026,3.886574458,0,4.774131861,10,4.220669397,2.865428932,10,3.351942156,2,2.333496624,5.722222222,5.722222222,4.774131861,2.026826973,2.333496624,2.910644641,10,7.061511424,6.967410262,10,587.75577
COMPORIUM,3,3,0,0,0,0,6,0,0,0,4.078651685,0,0,3.765719324,0,3,0,0,0,3.769888794,0,0,0,4.988857939,4.622025335,3,3,0,3,0,3,3,0,0,3,3,0,0,0,0,0,3.788542544,3.632339507,3,0,6,4.988857939,4.988857939,0,0,0,0,3,3,0,0,0,0,0,0,4.240583078,0,0,3,0,0,6,0,4.988857939,0,4.988857939,0,0,0,3.73605294,0,0,0,0,0,6,0,3,3,3.526299201,4.988857939,4.988857939,5.048833145,4.654309546,4.336446416,3.673817863,3,4.376623377,4.956890459,0,4.956890459,4.013130504,0,0,3,0,0,0,3.310344828,3,0,3,0,0,6,0,3,0,3,3.701949861,4.988857939,3,4.898843931,3,0,3,4.747252747,3,0,4.988857939,4.988857939,0,3,3,3,3,0,3,260.7240149
COMSTAR COMMUNICATIONS,0,5.942857143,4.931785725,0,5.939393939,2.501179643,0,8.6640625,5,8.670799752,6.879241822,5.940298507,5,6.386607743,0,5.946666667,5.607843137,5.941176471,0,0,8.974358974,0,6.947414549,7,5.5,6.56992257,5.939393939,5.940298507,5.941176471,9.380434783,0,7.27164912,8.646209386,0,7,5.940298507,0,9.4,7,7,7.040155082,6.753165669,6.779794791,6.192514433,5.939393939,0,0,0,5.939393939,5.075280652,7,0,4.169299112,5.939393939,0,7,0,5.610328638,0,7,7.131116822,4.931785725,7,5.940298507,4.931785725,6.069767442,0,5.939393939,5.585989622,0,7,7,5.939393939,0,5.355546842,5,2.2,0,0,0,0,5.954022989,4.889881671,8.187472814,5.514949559,5.793103448,5.793103448,1,5.722336227,5.432258065,10,0,6.612791152,7,5.738636364,4.454545455,4.684605757,7.246376812,5,0,7.63777701,7,0,6.808650701,5.797091544,0,5.939393939,0,7.214532872,4.6,3.481927711,6.43597674,6.273965427,6.562647353,5.67764982,5.585989622,7,5.942028986,7.200633162,0,5.939393939,10,8.670799752,0,7,5.585989622,5.9895017,8.670799752,8.401446655,7,2.239130435,5.357439226,7,638.3037183
COMTEC (MEX),6,3.65625,0,3,0,3,0,0,0,0,4.163972286,0,0,4.789772727,3,6,0,0,0,6,0,0,0,3.558139535,3.826530612,4.561643836,6,0,6,0,3.558139535,6,3,3,6,6,3,0,0,0,5.385140905,6,6,6,0,3,6,6,0,0,0,0,0,6,0,0,0,0,0,0,4.235294118,0,0,6,0,0,0,0,3.558139535,0,3.558139535,4.816216216,0,0,6,0,0,0,0,0,3,3,3.3125,6,5.271084337,3.558139535,3.558139535,4.2890625,3.80104712,3.780821918,0,3.980769231,3.545454545,6,0,3.579545455,4.180327869,0,0,0,0,0,0,5.373134328,4.852941176,0,6,0,0,0,0,6,0,6,6,3.558139535,6,6,6,0,6,3,6,0,3.558139535,3.558139535,0,6,6,6,6,0,6,335.424765
CONCILIUM TECHNOLOGIES,7.380014775,9.956641176,0,8.285377238,5.703389831,4,4,7.557019006,10.53300733,5.703389831,8.44193838,9.329692557,7.707283035,8.717156407,7.337467733,8.543343056,9.444321797,9.263345196,0,7.541978789,0,8.785714286,8.65113373,8.347548236,8.321831227,9.309543336,8.347548236,9.011816952,7.847419716,0,0,9.959330574,8.557050666,12,12,8.669396816,12,7,8.159893993,7,8.438247337,9.838400067,0,0,9.340333502,7,4,4,9.340333502,0,7,0,7.333333333,8.347548236,0,7,0,8.445820433,0,0,8.240352272,0,7,9.452830189,0,9.033063982,0,8.168786525,8.347548236,4,8.347548236,7.47467609,9.340333502,0,7.893380829,9.783505155,5.696721311,0,7,10.2612219,7.707642394,7.081557496,6.687402799,9.910731613,8.161585779,8.347548236,8.347548236,9.24,9.214443722,9.290772532,9.356608479,0,9.64319107,7.27030837,9.391155771,7,8.590663344,9.102629664,10.72897347,8.046524209,8.863206694,5.703389831,0,8.749779805,8.594030488,0,9.340333502,0,8.798830409,12,0,8.304105831,8.141432686,0,0,8.347548236,12,8.457414458,9.898196544,7,8.347548236,7.9543365,9.340333502,4,8.347548236,8.347548236,8.851515147,9.340333502,8.846404157,12,4,8.772265786,12,901.0029675
CONNECT TECH WEST,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0,0,0,0,3,0,0,0,3,0,1,0,0,0,0,0,1,0,1.588235294,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.98823529
CONSOLIDATED COMMUNICATIONS,6.170057173,5.587387909,0,5.968889884,6.375432333,5,5,6.736322434,6.87755102,6.375432333,5.910326087,6.375215146,6.640581267,6.914285714,5.805278394,0,7.344262295,6.374987026,0,6.312098992,0,5,6.115653565,6.375432333,7.827868852,6.374749499,6.375432333,6.736322434,4.441660141,4,0,6.375215146,5.827755547,4,2.372881356,7.207195492,4,5.87012987,7.833333333,10,6.264531435,6.70884925,6.796657382,6.680243082,6.375432333,6.882352941,5,5,6.375432333,0,10,0,4.593023256,6.375432333,0,10,0,3.967159278,0,0,7.150369434,0,10,6.375215146,0,6.134598087,0,6.375432333,7.838983051,5,6.375432333,7.04359673,6.375432333,4,6.195417631,3.688311688,6.374987026,0,6.87755102,7.245033113,6.375215146,6.387104613,5.866123399,3.753939132,5.888188821,7.838983051,7.838983051,10,6.954022989,3.875,10,0,5.586232558,6.959064327,7.603436582,5.867549669,6.311034726,7.838983051,10,7.532588454,6.282688391,6.375432333,0,6.32745452,6.048164365,0,6.375432333,4,6.374749499,4,0,0,6.61600573,0,0,7.838983051,2.350877193,6.949152542,6.904761905,6.87755102,6.375432333,7.446808511,6.375432333,5,6.375432333,7.838983051,6.205373217,6.375432333,6.949338759,2.350877193,5,3.271924445,2.372881356,694.3068298
COOK COMPANY,3,3.78125,0,4,0,0,0,0,0,0,3.25974026,0,0,3.24607638,0,3,0,0,0,3,0,0,0,3.648383582,3.526450877,3.314280781,3,0,3,0,3.648383582,3,0,0,3,3,0,0,0,0,0,3,3,3,0,4,3,3,0,0,0,0,3.787234043,3,0,0,0,0,0,0,3.406306853,0,0,3,0,0,0,0,3.648383582,0,3.648383582,3.198134874,0,0,3,0,0,0,0,0,4,0,3,3,3.173766991,3.648383582,3.648383582,3.309196058,3.536398467,3.546496086,0,3.46460177,3,3,0,3.638422964,3,0,0,3,0,0,0,3.101694915,3.214728149,0,3,0,0,0,0,3,0,3,3,3.648383582,3,3,3,0,3,3.676595745,3,0,3.648383582,3.648383582,0,3,3,3,3,0,3,211.0168274
COTENER,5.954621297,8.39516129,0,3,0,8,5.1,0,4.944444444,0,7.456170955,0,0,5.912341745,3,4.574292012,4.959459459,8,0,6.117915347,0,0,0,7.213402294,6.531136411,6.703103839,7.213402294,8,6.105737316,0,7.213402294,5.348628164,0,0,9,8.564417178,0,0,0,3,0,6.302072952,6.233210393,6.293991806,0,0,6.685950413,6.685950413,0,0,3,0,9,7.213402294,0,3,0,0,0,0,5.966512632,0,3,9,0,5.461538462,0,8,5.583701048,0,7.213402294,6.867872045,0,0,6.291243468,0,8,0,0,0,0,5.689655172,9,9,7.702747494,6.229883554,6.229883554,6.731323855,6.522213171,6.411923483,7.338847063,7.213402294,5.271135204,6.691056911,3,7.214804378,7.425531915,0,0,5.259724349,3,3,0,0,0,0,9,0,0,0,0,5.832997275,3,5.499837071,6.408398846,5.583701048,9,6.700787402,6.25,0,7.213402294,5.32947905,9,0,7.213402294,5.583701048,3,9,9,9,7.447034824,3,7.58413252,528.6854906
COUNTY OF SAN BERNARDINO,7.867310012,5.61509434,0,6.91712425,5.333046657,0,0,6.775981524,8.87755102,4.12295375,5.800785472,5.37254902,5.965285813,7.235294118,8.45814978,6.605098924,9.918367347,5.409753254,0,7.051184735,0,0,7.762674536,5.333046657,5.205128205,8.884615385,8.87755102,6.14651306,6.589114194,3.878228782,0,8.88,0,3.568965517,6,4.925986059,3.568965517,0,4.6875,12,7.773958932,7.493410526,7.979139121,7.187104449,5.333046657,8.882352941,0,0,5.333046657,0,12,0,3.681818182,8.87755102,0,12,0,5.589816124,0,0,8.009993889,0,12,8.88,0,6.459831484,0,5.333046657,5.108108108,0,5.333046657,12,5.333046657,6,8.111805122,7.846153846,8.882352941,0,8.87755102,6.393574297,5.37254902,9.366733467,8.907692308,4.466291531,6.502771533,5.108108108,5.108108108,6.371859296,5.205128205,5.333333333,7.401459854,0,5.210982659,4.6875,6.927462378,5.504284773,5.028322801,12,12,7.046728972,8.88,5.333046657,0,7.601912732,8.234693878,0,4.823309353,6,8.884615385,6,0,0,0,0,7.756080367,5.108108108,6,12,6.426156942,8.87755102,8.87755102,6.285714286,8.87755102,0,5.333046657,5.108108108,6.620174661,8.87755102,5.897435897,6,0,4.123893805,6,711.8093915
COX ENTERPRISES,0,19.36174659,24.32057343,13.65924862,19.81637281,30.81408744,15.4989993,3.246963563,12,9.11627907,29.16532432,14.75302725,5.356462934,16.14481986,16.20440325,26.1280001,13.56957133,24.25729696,58,17.84065457,10.98360656,30.19444444,0,20.76400725,24.73851775,23.95872846,19.85030657,9.258666314,19.61854351,58,41.03096143,11.31002152,15.8624037,58,30.50700322,12.20880215,58,19.18103448,15.54318182,0,0,0,15.14574977,16.13157012,14.66570796,18.64516129,36.88650762,36.88650762,14.66570796,31.95207149,0,58,19.71655404,19.85030657,0,0,0,18.33305579,0,58,17.1784532,24.32057343,0,17.20744003,24.32057343,6.808413261,45,13.79471532,17.95165261,30.19444444,20.76400725,0,14.66570796,58,0,37.41076487,30.8449984,0,58,1,9.755177736,21.45386338,19.76788746,21.20124362,0,18.7531412,18.7531412,0,22.8836096,23.96256675,34.55197557,38.26196204,26.09596413,29.55275121,9.033689787,41.36183746,0,5.85752948,4.527441381,10.7013884,7.12861977,30.19444444,0,28.92349119,14.14466352,58,9.404066563,0,6.946585346,22.18518519,17.03243243,19.20938616,10.63504582,15.04171993,0,17.95165261,23.72093023,26.12895288,7.948439251,58,19.85030657,19.3232031,17.13357517,30.19444444,20.76400725,17.95165261,7.088188723,17.13357517,16.52263332,23.72093023,38.22972116,31.98125264,31.85861843,2645.4276
CROWN CASTLE,4.74710673,5,5,5,5,4.252427184,5,0,0,0,5,4.257142857,4,0,5,5,4.257142857,4.52173913,4.41221374,4.76208603,0,5,5,5,5,0,0,4.423357664,4.261682243,5,5,4,5,5,5,5,5,5,5,0,5,5,5,5,5,0,0,0,5,5,0,5,4.426470588,0,0,0,0,5,0,5,0,5,0,4.257142857,5,0,0,4.252427184,5,5,5,5,5,5,4.707070707,4.532544379,4.257142857,0,4.252427184,0,0,0,4.069767442,4.52173913,0,0,0,5,5,5,5,5,5,5,5,0,5,0,0,0,0,5,0,5,0,5,5,0,0,0,5,5,5,5,4.769911504,5,5,5,0,4.252427184,0,0,5,5,5,5,0,5,5,5,4.601036269,4.774193548,5,440.5691993
CSC,0,4.130332965,3.479231246,0,4.191642957,4,3.163095231,4.922280701,5.961170778,0,4.184146586,4.206488165,4.573549907,3.934931781,3.737845287,5.553466432,5.487946739,4.220216357,0,0,3.384615385,4,4.574512072,4.64489994,4.333153331,4.78024086,5.2967669,4.399775411,5.140693563,3.348010028,0,4.556197826,0,2.75862069,5.193277311,3.706049655,2.75862069,3.356021921,3.609590426,7.448818898,4.66367198,4.742582274,5.02944346,4.846633945,4.191642957,7.921568627,4,4,4.191642957,3.538878843,7.47107438,0,3.027445809,5.2967669,0,7.441860465,0,4.135114735,0,4,5.454520258,3.479231246,7.47107438,5.291578582,3.479231246,4.668955091,0,4.191642957,3.896466678,4,4.64489994,5.655683115,4.191642957,6,4.040008352,5.962299717,6.276515529,0,7.918367347,5.737617135,4.764418377,4.829509806,4.021990602,3.984283985,4.206510757,4.252163342,4.252163342,5.497487437,3.927157135,3.930296128,5.481136469,0,4.014607235,3.649950329,4.718650207,4.887409791,3.629136788,5.085236706,5.478672986,5.365826692,4.809569613,4.64489994,0,4.866730875,5.239476664,0,3.604789782,6,5.127416675,4.96969697,1,0,0,0,0,3.896466678,5.196581197,4.848147008,4.31527804,7.918367347,5.2967669,4.643896976,4.751813652,4,4.64489994,3.896466678,4.275955444,4.751813652,4.226672068,5.196581197,4,3.647619544,5.193277311,524.8340642
